licensee,year,total_accepted_t,n_records,n_low_codes,recovery_share,disposal_share,other_share,backfill_share,hazardous_share,recovery_rate
Huntstown Inert Waste Recovery Facility - W0277,2023,127398.48,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Huntstown Inert Waste Recovery Facility - W0277,2025,726647.22,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Indaver Ireland Limited (Duleek) - W0167,2022,2.74,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Indaver Ireland Limited (Duleek) - W0167,2023,20.64,6.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
Indaver Ireland Limited (Duleek) - W0167,2024,89.2,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Indaver Ireland Limited (Duleek) - W0167,2025,340.08,4.0,2.0,1.0,0.0,0.0,0.0,0.045459891790167024,1.0
"Indaver Ireland Limited (Tolka Quay Road), Dublin Port - W0036",2021,58.10300000000001,8.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
"Indaver Ireland Limited (Tolka Quay Road), Dublin Port - W0036",2022,8.733,9.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
"Indaver Ireland Limited (Tolka Quay Road), Dublin Port - W0036",2023,8.957999999999998,7.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
"Indaver Ireland Limited (Tolka Quay Road), Dublin Port - W0036",2024,14.706000000000001,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
"Indaver Ireland Limited (Tolka Quay Road), Dublin Port - W0036",2025,22.241,13.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0
Integrated Materials Solutions Limited Partnership - W0129,2021,1170536.1,22.0,6.0,0.20125208440816136,0.7987479155918386,0.0,0.003626355479339766,0.0,0.2012520844081614
Integrated Materials Solutions Limited Partnership - W0129,2022,787225.6359999999,156.0,7.0,0.16264302652867368,0.8373569734713263,0.0,0.05605495804763146,0.0,0.16264302652867368
Integrated Materials Solutions Limited Partnership - W0129,2023,1053701.04,141.0,5.0,0.11317253706041705,0.8868274629395829,0.0,0.0526400543364748,0.0,0.11317253706041705
Integrated Materials Solutions Limited Partnership - W0129,2024,1066397.8,142.0,6.0,0.749970948927314,0.25002905107268597,0.0,0.02259856500079051,0.0,0.749970948927314
Integrated Materials Solutions Limited Partnership - W0129,2025,1032764.09,154.0,5.0,1.0,0.0,0.0,0.15645745389927335,0.0,1.0
Irish Packaging Recycling Unlimited Company - W0263,2021,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
JFK Environmental Limited - W0196,2021,99.16,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
